       actor_loss  value_loss  advantages
347           0.2       371.6       -13.5
348           0.6       401.9       -13.1
349           0.5       306.9       -12.6
350           0.5       412.4       -13.4
351           1.8       361.1       -11.7
352           1.0       434.5       -12.4
353           2.4       405.9       -14.0
354           0.3       376.5       -11.9
355           0.2       397.5       -13.6
356           3.1       362.2       -10.8
357          64.9       440.4        -7.2
358           1.0       559.8       -10.7
359           0.3       424.1       -13.3
360           2.2       345.4        -9.0
361           0.4       406.1        -8.7
362           0.4       402.6       -12.7
363           0.3       359.6        -8.2
364           2.8       292.7       -10.8
365           0.3       418.8        -8.4
366           0.4       395.0       -11.3
367           0.8       376.7       -10.1
368           0.7       331.4        -8.7
369           0.2       351.2       -11.9
370           6.4       362.2        -9.6
371           0.1       415.4        -7.6
372           0.4       386.4        -6.4
373           0.4       328.6        -8.5
374           1.3       412.4        -7.0
375           0.5       307.0        -7.7
376           0.9       305.5        -6.1
377           0.1       247.0        -7.6
378           1.5       269.6        -7.4
379           0.3       287.0        -8.7
380           0.2       236.4        -6.8
381           1.0       390.2        -8.9
382           0.1       225.7        -6.0
383           0.3       208.4        -6.4
384           0.4       449.1       -15.2
385           2.1       557.7       -15.3
386           1.1       481.4       -12.2
387           0.2       447.0       -13.5
388           1.8       404.9       -13.1
389           0.6       375.5       -10.6
390           0.8       353.2       -14.5
391           0.5       408.1       -12.8
392           1.1       397.7       -16.8
393           0.6       380.6       -14.1
394           1.0       364.2       -14.6
395           1.1       310.6       -14.6
396           2.2       293.7       -11.6
397           0.3       379.1       -11.3
398           0.1       398.4       -13.7
399           1.0       505.1       -10.1
400           0.4       289.8       -10.3
401           0.2       361.4       -10.9
402           0.3       321.0       -11.3
403           0.4       343.2       -11.7
404           0.4       285.7       -11.0
405           1.8       263.8        -4.8
406           0.9       316.6       -11.7
407          98.5       235.8       -11.4
408           0.4       398.7       -11.3
409           0.4       301.4        -7.6
410           0.4       206.0       -10.3
411           0.2       300.5       -10.0
412           0.8       295.2        -6.6
413           8.5       206.7        -7.1
414           0.2       267.6        -7.9
415           0.3       339.0        -8.7
416           0.8       285.5        -8.8
417           0.8       236.3        -7.5
418           0.6       259.6        -5.9
419           0.4       349.2       -10.4
420           0.4       249.2        -6.3
421           0.3       288.8        -8.7
422           1.0       208.6        -7.9
423           0.2       243.0        -6.6
424           0.4       189.8        -7.2
425           0.2       229.1        -7.2
426           4.0       192.1        -2.4
427           0.1       288.0        -5.2
428           0.9       175.1        -7.7
429           0.2       251.6        -1.9
430           0.9       205.3        -3.7
431           1.2       234.9        -2.3
432           0.1       179.7        -5.0
433           0.4       251.7        -4.4
434           0.3       275.6        -3.2
435           0.5       180.3        -3.0
436           0.3       310.2        -2.7
437           0.3       267.2        -0.7
438           0.6       453.7         3.3
439           0.2       190.8        -3.6
440           0.4       153.5        -4.0
441           0.4       289.8        -2.6
442           0.3       200.6        -5.9
443           0.4       246.8        -7.1
444           0.3       233.8        -2.9
445           0.5       179.5        -4.1
446          31.6       247.5        -3.3
447           0.2       310.4        -5.7
448           0.2       162.1        -4.9
449           0.6       181.7        -3.0
450           0.3       200.3        -2.9
451          24.7       227.7        -3.5
452           0.2       144.4        -3.9
453           0.3       218.6        -1.5
454           0.4       274.9        -1.9
455           0.2       179.1        -2.9
456           0.3       192.9        -3.5
457           0.7       129.5        -2.5
458           0.4       170.3        -2.2
459           0.2       293.1         1.8
460           0.4       124.1        -4.4
461           0.2       281.7        -2.6
462           0.3       316.4        -0.9
463           0.3       173.6        -3.2
464           0.6       184.3        -3.1
465           0.3       154.1        -2.3
466           0.5       135.0        -3.7
467           0.5       231.6        -1.9
468           0.3       307.7        -3.2
469           0.2       259.4        -3.2
470           0.2       177.3        -3.2
471           0.4       238.6        -3.0
472           0.4       256.6        -3.6
473           0.4       129.5        -4.4
474           0.4       251.3        -1.6
475           0.3       214.6        -1.5
476           0.4       143.7        -5.0
477           0.2       347.5         1.5
478           0.2       330.1         0.7
479           0.2       177.1        -0.6
480           0.2       209.2        -4.7
481           0.4       107.7        -5.8
482           0.2       112.9        -4.8
483           0.6       120.9        -5.9
484           0.2       193.5        -2.5
485           0.5       133.2        -5.9
486           0.2       222.4        -3.7
487           0.5       116.0        -4.9
488           0.6       143.7        -7.5
489           0.3       102.2        -3.2
490           0.3       376.7         1.8
491           0.3       126.3        -4.4
492           0.3       284.8        -3.2
493           0.3        98.9        -3.1
494           0.5       125.1        -4.3
495           0.3       139.1        -4.2
496           0.2       179.1        -3.9
497           0.4       127.7        -4.5
498           1.5       123.7        -4.3
499           0.3       100.3        -2.6
500           0.3        94.4        -3.6
501           0.3       107.7        -4.7
502           0.3        95.5        -4.7
503           0.4       126.5        -4.3
504           0.3       118.2        -4.9
505           0.4       113.6        -3.6
506           0.2       182.0        -1.4
507           0.3       113.0        -2.6
508           0.3       107.8        -5.9
509           0.5       115.6        -2.5
510           0.3        97.9        -3.6
511           0.4       116.7        -1.4
512           0.5       114.3        -0.5
513           0.2       166.1        -0.0
514           0.8        97.1        -4.2
515           0.4       101.2        -3.1
516           0.2       169.5        -2.9
517           0.3       105.5        -5.2
518           0.1       175.0        -2.6
519           0.4       122.8        -1.4
520           0.3       166.7        -1.2
521           0.2       164.6         0.4
522           0.3        84.6        -2.2
523           0.3        82.4        -3.2
524           0.2        88.8        -2.0
525           0.4       113.6        -3.6
526           0.2       184.0        -2.5
527           0.6        97.6        -2.2
528           0.4       110.9        -1.1
529           0.5       100.5        -2.7
530           0.2       172.1        -0.2
531           0.3        67.1        -1.8
532           0.4        95.5        -3.3
533           0.3       106.8        -1.1
534           0.3        83.4        -3.5
535           0.3        88.8        -0.3
536           0.3        70.8        -1.1
537           0.4        73.4        -2.0
538           0.3        83.2        -2.0
539           0.3       169.2        -0.7
540           1.7        73.0        -1.8
541           0.3        86.5        -3.2
542           0.2       254.4        -1.2
543           0.5        93.1        -2.7
544           0.2        79.8        -2.6
545           0.3        95.4        -1.5
546           0.2        54.8        -2.5
547           0.4       165.1        -3.1
548           0.3       146.5        -0.1
549           0.3        66.2        -0.3
550           0.6        79.0        -3.1
551           0.3        72.8        -2.1
552           0.4        81.9        -2.0
553           0.4       117.1         1.4
554           0.2       146.0         1.0
555           0.2       155.3        -1.8
556           0.3        73.2        -3.0
557           1.9        76.5        -1.9
558           0.4        68.4        -1.8
559           0.3        69.2        -0.3
560           0.3       148.7        -0.2
561           2.6       141.4         0.4
562           0.2       169.1        -1.8
563           0.3        92.9        -2.6
564           0.3        73.1        -0.5
565           0.2        84.9        -1.1
566           0.3       157.2        -0.1
567           0.3       133.3        -0.4
568           0.3        63.1        -3.2
569           0.1       161.9        -1.5
570           0.2        78.6        -1.5
571           0.4        82.0        -2.4
572           0.3        66.5        -1.3
573           0.2        84.5        -0.3
574           0.3        91.5        -1.8
575           0.3        66.6        -2.6
576           0.2        92.8        -0.0
577           0.3        51.7        -1.2
578           0.3       129.5        -2.0
579           0.2       205.3         1.1
580           0.2       200.5         1.1
581           0.6       123.3        -0.0
582           0.2       135.7         0.3
583           0.2       193.7         0.2
584           0.2       167.2         0.9
585           0.3       129.5        -1.2
586           0.3        45.7        -1.6
587           0.5        83.2        -1.6
588           0.3        54.3        -3.1
589           0.7       103.3        -2.3
590           0.4       226.3         0.3
591           0.2       233.0         0.7
592           0.3       119.7         0.2
593           0.2       249.8        -0.3
594           0.5        64.6         0.1
595           0.2       356.2         1.3
596           0.1       267.1         0.5
597           0.5       227.9         0.1
598           0.4       142.0        -1.4
599           0.2        74.5        -2.5
600           0.2        94.0        -1.2
601           0.7        56.6        -2.3
602           0.5       116.4        -1.1
603           0.2       275.4         0.1
604           0.2       105.8        -2.6
605           0.3       102.8        -1.8
606           0.3        57.3        -2.6
607           0.2       411.2         1.9
608           0.2       148.3        -2.2
609           0.2       173.5         0.6
610           0.2       526.5         5.6
611           0.3        67.9        -1.7
612           0.1       160.5        -0.4
613           0.2       176.4         0.3
614           0.5       117.5        -0.5
615           0.3        46.0        -1.3
616           0.2       204.1        -1.0
617           0.2       206.7         0.5
618           0.2       228.5        -0.2
619           0.3       114.3        -1.7
620           0.4       324.6         0.3
621           0.4        63.4        -1.9
622           0.6        57.8        -3.4
623           0.5        67.8        -2.0
624           0.3       105.5        -1.7
625           0.3       113.0        -1.9
626           0.3       167.5        -0.7
627           0.6        50.2        -2.8
628           0.2       146.2        -1.2
629           0.2        96.7        -1.2
630           0.2       167.5        -1.0
631           0.2       115.4        -0.6
632           0.3       152.4        -0.6
633           0.7        48.2        -1.8
634           0.2       265.6        -0.3
635           0.2       130.0        -0.8
636           0.2        97.5        -1.3
637           0.2       104.4        -2.2
638           0.2       116.8        -2.1
639           0.2       198.4        -0.0
640           0.2       104.1        -1.6
641           0.2       222.8         0.2
642           0.3        48.6        -3.1
643           0.3       411.3         3.3
644           0.2        95.9        -1.4
645           0.5        58.4        -3.2
646           0.3       126.2         1.1
647           0.2       230.1         1.5
648           0.4       222.9         0.9
649           0.2        42.5        -2.5
650           0.3        42.9        -0.9
651           0.2       199.6         0.3
652           0.2       173.6         0.5
653           0.3        42.2        -2.0
654           0.5        62.8        -2.6
655           0.3       139.4        -0.7
656           0.4       172.1        -0.1
657           0.2       118.3        -1.0
658           0.1       106.8        -2.6
659           0.2       324.0         0.4
660           0.2       105.8        -2.3
661           0.2       173.5         0.4
662           0.2       170.7        -1.3
663           0.2       182.7        -0.2
664           0.4        49.1        -0.7
665           0.3       244.6        -0.1
666           0.2        96.6        -0.4
667           0.4       169.9         0.7
668           0.2       155.3         0.0
669           0.2       101.8        -0.9
670           0.3       214.0        -1.0
671           0.3        40.9        -2.4
672           0.3        53.2        -2.0
673           0.2        53.1        -5.0
674           0.2       132.8        -1.2
675           0.2       167.9        -0.8
676           0.4        56.7        -3.1
677           0.2       330.8         2.2
678           0.3        49.0        -3.1
679           0.1       164.3        -1.5
680           0.2       258.4        -0.3
681           0.8        36.5        -3.0
682           0.2       153.5         0.5
683           0.2       166.7         1.0
684           0.2       227.0        -0.1
685           0.3        62.3        -0.8
686           0.1       136.1        -1.4
687           0.3        36.8        -1.1
688           0.2       170.8        -0.0
689           0.7       142.4        -0.4
690           0.3        43.3        -1.0
691           0.2       241.6         1.0
692           0.2       152.5        -2.0
693           0.6        48.9        -2.8
694           0.3        40.5        -1.2
695           0.2       243.4         1.0
696           0.4        39.6        -1.2
697           0.1       224.9        -0.3
698           0.4       183.7         1.4
699           0.2       118.1         0.4
700           0.3        37.3        -0.7
701           0.3        50.6         0.1
702           0.2       360.6         2.8
703           0.2       117.0        -0.3
704           0.2        37.5        -1.1
705           0.4        39.1        -2.7
706           0.2        44.6        -1.6
707           0.4        48.1        -3.8
708           0.2        41.1        -2.7
709           0.2       219.8         1.3
710           0.1       212.7         1.0
711           0.7       150.2        -1.9
712           0.2       116.7        -2.1
713           0.3        39.4        -1.8
714           0.3        51.4        -2.8
715           0.4        38.9        -2.4
716           0.3        44.6        -2.3
717           0.3        35.1        -1.9
718           0.2       127.6        -0.2
719           0.2       405.6         3.4
720           0.3        48.3        -2.1
721           0.2       164.1         0.2
722           0.2       211.6        -0.3
723           0.1       122.1        -0.5
724           0.3       321.1         2.1
725           0.2       252.4         1.3
726           0.2       140.1        -0.0
727           0.2       102.7         0.4
728           0.2        38.2        -1.0
729           0.2       161.3        -0.6
730           0.2       238.6         2.6
731           0.3        45.3        -2.5
732           0.3       147.2         1.1
733           0.2       113.7        -0.7
734           0.4        34.8        -1.1
735           0.2       163.6        -0.5
736           0.2       154.4         0.9
737           0.3        34.7        -2.1
738           0.2       142.8        -0.4
739           0.1       303.3         1.3
740           0.3        29.3        -2.0
741           0.1       126.2         0.1
742           0.3        48.0        -0.9
743           0.3        31.5        -2.0
744           0.3       209.1         0.2
745           0.1       110.8        -0.7
746           0.3        35.9        -2.3
747           0.5        51.4        -2.3
748           0.3        29.9        -1.7
749           0.3       216.8         0.3
750           0.2       138.3        -1.2
751           0.2       290.8         2.2
752           0.3       123.9        -1.3
753           0.2       222.8         0.6
754           0.2       133.2        -0.1
755           1.0       189.8         0.4
756           0.3        33.6        -1.5
757           0.2       258.4         0.1
758           0.2       127.7        -0.5
759           0.2        31.9        -2.0
760           0.2       137.1         0.1
761           0.3        45.6        -1.9
762           0.2       112.2        -0.9
763           0.4        32.8        -2.2
764           0.2        29.0        -2.2
765           0.2        35.8        -2.6
766           0.1       124.4        -1.5
767           0.2       108.5        -1.3
768           0.1       489.3         3.7
769           0.1       242.7         1.0
770           0.3        27.4        -1.1
771           0.3        38.2        -0.7
772           0.1       138.3         0.9
773           0.2        33.2        -0.0
774           0.1       153.1         1.4
775           0.7        35.6        -0.4
776           0.3        33.2        -1.8
777           0.1       244.9         1.1
778           0.2       126.3         0.4
779           0.1       161.7        -0.4
780           0.3        34.5        -1.2
781           0.4        36.0        -1.5
782           0.2        29.0        -1.4
783           0.1       153.3        -1.8
784           0.3       350.0         2.9
785           0.1       220.0         0.8
786           0.1       344.5         2.9
787           0.2       128.9        -0.8
788           0.2       126.4         0.0
789           0.2       139.6         1.0
790           0.1       417.1         3.9
791           0.3        45.7        -0.1
792           0.2       129.8         0.3
793           0.2        38.9        -0.7
794           0.2       243.7         1.7
795           0.1       138.8         1.1
796           0.2        39.4        -0.7
797           0.2        39.2         0.6
798           0.1       121.6        -1.4
799           0.5        35.5        -1.1
800           0.2       141.8        -0.3
801           0.1       152.7        -0.3
802           0.3        32.8        -0.9
803           0.3        38.8        -2.2
804           0.1       208.4         0.3
805           0.3       135.8        -1.2
806           0.1       149.4        -1.0
807           0.1       125.6         0.0
808           0.2        48.6        -0.9
809           0.1       114.2         0.6
810           0.1       301.0         2.2
811           0.3        26.3        -1.3
812           0.1       150.8         0.6
813           0.3        30.8        -0.9
814           0.2       148.3         0.1
815           0.6        38.6        -1.6
816           0.3        34.2        -2.1
817           0.3       137.0        -1.2
818           0.4        30.3        -1.5
819           0.3       203.3         1.8
820           0.2        34.8        -1.8
821           0.3       129.0        -0.1
822           0.1       114.8         0.8
823           0.1       319.7         1.7
824           0.1       127.2         0.5
825           0.2       157.0         0.7
826           0.3       329.0         2.0
827           0.2       132.1        -0.6
828           0.2        39.9        -1.3
829           0.0       209.0         0.9
830           0.2       248.8         2.1
831           0.1       153.8         0.1
832           0.2       111.1        -1.0
833           0.3        46.0        -1.2
834           0.1       230.8         0.1
835           0.2        36.7        -1.6
836           0.3        34.0        -1.5
837           0.3        30.0        -2.0
838           0.3        30.8        -0.4
839           0.1       211.0         0.3
840           0.1       138.3        -0.1
841           0.4       134.6        -0.0
842           0.3       241.0         0.4
843           0.2       133.8        -0.4
844           0.0       115.9        -0.3
845           0.3       151.1         0.6
846           0.4        35.9        -1.2
847           0.2       136.1         0.3
848           0.3        34.9        -1.2
849           0.1       242.6         1.8
850           0.1       224.8         1.3
851           0.4        31.0        -2.6
852           0.1       212.6         1.4
853           0.2       119.5        -0.9
854           0.1       316.1         2.9
855           0.3        38.1        -1.2
856           0.3       122.0        -0.5
857           0.3        31.4        -2.0
858           0.1       225.6         0.0
859           0.2       214.5         1.3
860           0.2       214.6         0.6
861           0.2        91.9        -1.6
862           0.1       109.3         0.2
863           0.5        33.1        -0.9
864           0.3        38.2         1.1
865           0.3        43.8        -0.9
866           0.4        46.1         0.6
867           0.4        42.7         0.4
868           0.4       133.0         2.4
869           0.4        39.9        -1.1
870           0.2       214.0         4.3
871           0.3        43.5        -0.3
872           0.3       128.8         0.7
873           0.4        52.9        -1.1
874           0.3        42.1        -1.0
875           0.3        37.9        -1.3
876           0.3        47.1        -1.2
877           0.3        39.9         0.1
878           0.4        46.1         0.1
879           0.4        34.5        -0.1
880           0.8        27.5        -0.7
881           0.3        30.3        -0.2
882           0.3        55.0         0.8
883           0.2       201.2         1.6
884           0.3        30.9        -0.0
885           0.3        39.2        -1.0
886           0.2       122.3         0.3
887           0.3        29.3        -0.4
888           0.2       106.5         0.5
889           0.2       188.6         2.5
890           0.2       121.7         1.2
891           2.1       119.4         0.1
892           0.3        41.6        -1.9
893           0.4        36.2        -0.3
894           0.3        30.6         0.2
895           0.1       113.5         0.8
896           0.3       196.1         1.6
897           0.3        37.2        -1.6
898           0.2       113.2         1.5
899           0.2       188.6         2.1
900           0.2        32.8        -1.3
901           0.2       115.2         0.5
902           0.2       112.6         1.8
903           3.3        30.9         0.2
904           0.3        31.9        -0.7
905           0.5       122.4         1.2
906           0.2       113.3        -0.5
907           0.1       103.6        -0.1
908           0.4        41.5        -0.5
909           0.3        32.3        -1.9
910           0.3        36.5        -0.2
911           0.3        26.4        -1.4
912           0.3        28.4         0.0
913           0.4        29.7        -1.3
914           0.2       104.6        -0.8
915           0.3        38.2        -1.1
916           0.2       111.7        -0.1
917           0.3        38.1        -3.1
